Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Cote d'Ivoire,CIV,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,25.41090257,24.20068664,26.37797182,28.46347714,33.7779621,41.04394274,42.19623416,46.08233288,47.48264113,48.83040446
Ghana,GHA,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,65.28951442,64.62711419,58.74403281,54.6463727,49.86945713,56.96149443,60.43757492,60.02274691,55.29637572,46.91716682
Nigeria,NGA,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,9.373945267,10.97823029,17.730759,16.91656752,17.47966539,20.49244396,22.26826039,22.18673516,29.03683224,60.04472441
Senegal,SEN,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,60.4794402,61.77833908,69.7334917,88.96733601,91.30645017,107.8559944,114.3834293,132.2979283,153.247351,150.6901641
Benin,BEN,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,31.83374133,35.51616616,38.80785918,48.50448874,48.45231082,54.71307288,59.66593452,63.16366078,64.41037742,66.55434082
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,
