Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Cote d'Ivoire,CIV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.251499548,0.723178458,0.685881065,0.401297817,0.790855512,2.412526172,4.159196579,5.233528561,4.369722549,3.450530281
Ghana,GHA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,17.1499695,17.45463471,12.37192155,7.808765166,7.143640033,9.887289563,9.971088675,31.2558951,38.10696563,22.84832812
Nigeria,NGA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,9.00943498,15.69681264,16.50226621,12.09510652,11.39642234,13.24602343,16.95284572,18.84718778,24.6595502,33.24209665
Senegal,SEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.135211934,0.837284943,1.318153148,0.460985642,1.760111512,2.543146857,2.180322781,9.696818991,5.939477988,0.804503299
Benin,BEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.218785924,-0.793310146,0.043264856,0.919170718,0.732849371,3.022721197,1.733539627,1.350778636,2.738700784,1.160930896
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,
