Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.194949427,7.17275964,7.410762426,4.843146059,6.721371676,0.699728593,7.063329102,6.399883627,6.600000452,6.019534619
Ghana,GHA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.120759338,3.37346575,8.128894881,6.200077681,6.507774794,0.513941671,5.076466435,3.80484981,3.140090998,5.590454696
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.652693295,-1.616868949,0.805886619,1.922757342,2.208429277,-6.368898405,1.109252539,4.318829495,3.326845564,4.062364089
Senegal,SEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.367043651,6.356068572,7.407486186,6.209241034,4.613628097,1.342073773,6.5440011,3.850431937,4.257430833,6.060551412
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.77815106,3.339673426,5.671561952,6.697253622,6.865686628,3.8487924,7.155451646,6.252947054,6.352777385,7.453115662
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,
